session_id,experiment_variant,converted,revenue
s267,control,0,0
s2479,v1,0,0
s1955,v1,0,0
s2164,v1,0,0
s1117,control,0,0
s2027,v1,0,0
s2801,v1,0,0
s2347,v1,0,0
s628,control,0,0
s1050,control,0,0
s1614,v1,0,0
s1313,control,0,0
s555,control,0,0
s95,control,0,0
s2261,v1,0,0
s400,control,0,0
s707,control,0,0
s2344,v1,0,0
s355,control,0,0
s2063,v1,0,0
s2574,v1,0,0
s2215,v1,0,0
s829,control,0,0
s406,control,0,0
s635,control,0,0
s1919,v1,0,0
s1282,control,0,0
s328,control,0,0
s3,control,0,0
s2166,v1,0,0
s652,control,0,0
s375,control,0,0
s732,control,0,0
s1143,control,0,0
s2596,v1,0,0
s2169,v1,0,0
s514,control,0,0
s64,control,0,0
s2496,v1,0,0
s1217,control,0,0
s2458,v1,0,0
s1384,control,0,0
s2423,v1,0,0
s2291,v1,0,0
s2670,v1,0,0
s2806,v1,0,0
s677,control,0,0
s2673,v1,0,0
s487,control,0,0
s708,control,0,0
s2263,v1,0,0
s843,control,0,0
s483,control,0,0
s710,control,0,0
s2909,v1,0,0
s744,control,0,0
s1194,control,0,0
s537,control,0,0
s2764,v1,0,0
s43,control,0,0
s2239,v1,0,0
s2422,v1,1,51.85
s2863,v1,0,0
s2402,v1,0,0
s1813,v1,0,0
s2965,v1,0,0
s1983,v1,0,0
s846,control,0,0
s872,control,0,0
s430,control,0,0
s1961,v1,0,0
s1523,v1,0,0
s2715,v1,0,0
s1172,control,0,0
s132,control,0,0
s759,control,0,0
s1094,control,0,0
s1805,v1,0,0
s2252,v1,0,0
s2130,v1,0,0
s1924,v1,0,0
s771,control,1,65.25
s1935,v1,0,0
s1748,v1,0,0
s2103,v1,0,0
s2230,v1,0,0
s2222,v1,0,0
s1589,v1,0,0
s751,control,0,0
s238,control,0,0
s2363,v1,0,0
s2784,v1,0,0
s625,control,0,0
s1294,control,0,0
s875,control,0,0
s2211,v1,0,0
s2849,v1,1,62.13
s250,control,0,0
s1612,v1,0,0
s2771,v1,0,0
s2356,v1,0,0
s1293,control,0,0
s185,control,0,0
s1170,control,0,0
s2274,v1,0,0
s2128,v1,0,0
s1942,v1,0,0
s2319,v1,0,0
s2256,v1,0,0
s639,control,0,0
s1187,control,0,0
s463,control,0,0
s882,control,0,0
s1128,control,0,0
s150,control,0,0
s1340,control,0,0
s2325,v1,0,0
s479,control,0,0
s596,control,0,0
s292,control,0,0
s2826,v1,0,0
s925,control,0,0
s1277,control,0,0
s1339,control,0,0
s1989,v1,0,0
s1062,control,0,0
s1175,control,0,0
s567,control,0,0
s2982,v1,0,0
s1295,control,0,0
s2769,v1,0,0
s1017,control,0,0
s575,control,0,0
s1655,v1,0,0
s1443,control,0,0
s1491,control,1,62.42
s1615,v1,0,0
s1780,v1,0,0
s2979,v1,0,0
s719,control,0,0
s2292,v1,0,0
s2497,v1,0,0
s1842,v1,0,0
s136,control,0,0
s1488,control,0,0
s1225,control,0,0
s2589,v1,0,0
s613,control,0,0
s246,control,0,0
s2818,v1,0,0
s619,control,0,0
s2,control,0,0
s2768,v1,1,73.62
s1730,v1,0,0
s2868,v1,0,0
s2671,v1,0,0
s1152,control,0,0
s1613,v1,0,0
s1835,v1,0,0
s1403,control,0,0
s1740,v1,0,0
s1387,control,0,0
s627,control,0,0
s1032,control,0,0
s2740,v1,0,0
s1533,v1,0,0
s2304,v1,0,0
s2969,v1,0,0
s2623,v1,0,0
s2391,v1,0,0
s2010,v1,0,0
s1185,control,0,0
s660,control,0,0
s98,control,0,0
s38,control,0,0
s1513,v1,0,0
s298,control,0,0
s1914,v1,0,0
s1318,control,0,0
s973,control,0,0
s1769,v1,0,0
s1045,control,0,0
s862,control,0,0
s493,control,0,0
s1319,control,0,0
s2659,v1,0,0
s720,control,0,0
s403,control,0,0
s1086,control,0,0
s795,control,0,0
s1031,control,0,0
s507,control,0,0
s218,control,0,0
s600,control,0,0
s1950,v1,0,0
s2465,v1,0,0
s521,control,0,0
s408,control,0,0
s1371,control,0,0
s324,control,0,0
s1300,control,0,0
s1404,control,0,0
s2987,v1,0,0
s1083,control,0,0
s2240,v1,0,0
s148,control,1,77.41
s2775,v1,0,0
s2254,v1,0,0
s2843,v1,0,0
s452,control,0,0
s1343,control,0,0
s1331,control,0,0
s1181,control,0,0
s2947,v1,0,0
s1947,v1,0,0
s642,control,0,0
s2345,v1,0,0
s88,control,0,0
s2894,v1,0,0
s2104,v1,0,0
s2116,v1,0,0
s2663,v1,0,0
s616,control,0,0
s1135,control,0,0
s381,control,0,0
s2613,v1,0,0
s1410,control,0,0
s1787,v1,0,0
s144,control,0,0
s2346,v1,0,0
s2690,v1,0,0
s152,control,0,0
s2532,v1,0,0
s2459,v1,0,0
s2713,v1,0,0
s1216,control,0,0
s2697,v1,0,0
s1424,control,0,0
s2382,v1,0,0
s2683,v1,0,0
s2562,v1,0,0
s2194,v1,0,0
s106,control,0,0
s74,control,0,0
s1189,control,0,0
s120,control,0,0
s2425,v1,0,0
s1021,control,0,0
s2043,v1,1,14.7
s2962,v1,1,54.59
s2223,v1,0,0
s1844,v1,0,0
s1825,v1,0,0
s1559,v1,0,0
s1116,control,0,0
s1722,v1,0,0
s1159,control,0,0
s2461,v1,0,0
s2384,v1,0,0
s977,control,0,0
s441,control,0,0
s149,control,1,81.64
s251,control,0,0
s2165,v1,0,0
s187,control,0,0
s1663,v1,0,0
s348,control,0,0
s2282,v1,0,0
s2401,v1,0,0
s1622,v1,0,0
s162,control,0,0
s196,control,1,45.75
s693,control,0,0
s2242,v1,0,0
s584,control,0,0
s2953,v1,0,0
s2765,v1,1,65.64
s1234,control,0,0
s165,control,0,0
s2653,v1,0,0
s1188,control,0,0
s779,control,0,0
s629,control,0,0
s884,control,0,0
s17,control,0,0
s2079,v1,0,0
s662,control,0,0
s1231,control,0,0
s2395,v1,0,0
s1238,control,0,0
s1357,control,0,0
s1111,control,0,0
s1568,v1,0,0
s698,control,0,0
s1853,v1,0,0
s2410,v1,0,0
s1481,control,0,0
s1851,v1,0,0
s1695,v1,0,0
s283,control,0,0
s2886,v1,0,0
s2552,v1,0,0
s9,control,0,0
s735,control,0,0
s1518,v1,0,0
s2003,v1,0,0
s1875,v1,0,0
s1904,v1,0,0
s418,control,0,0
s2182,v1,0,0
s1679,v1,0,0
s1822,v1,0,0
s395,control,0,0
s2009,v1,0,0
s2418,v1,0,0
s752,control,0,0
s2044,v1,0,0
s990,control,0,0
s1619,v1,0,0
s2037,v1,0,0
s264,control,0,0
s624,control,0,0
s178,control,0,0
s2136,v1,0,0
s1544,v1,0,0
s1004,control,0,0
s2059,v1,0,0
s2855,v1,0,0
s439,control,0,0
s104,control,0,0
s1250,control,0,0
s1594,v1,0,0
s736,control,0,0
s2599,v1,1,57.33
s419,control,0,0
s1283,control,0,0
s1173,control,0,0
s50,control,0,0
s1121,control,0,0
s1603,v1,0,0
s130,control,0,0
s288,control,0,0
s2066,v1,0,0
s657,control,0,0
s170,control,0,0
s2594,v1,0,0
s743,control,0,0
s2140,v1,0,0
s443,control,0,0
s1634,v1,0,0
s1374,control,0,0
s2561,v1,0,0
s2168,v1,0,0
s2780,v1,0,0
s610,control,0,0
s2202,v1,0,0
s2077,v1,0,0
s1333,control,0,0
s1975,v1,0,0
s2336,v1,0,0
s286,control,0,0
s2959,v1,0,0
s1967,v1,0,0
s2226,v1,0,0
s914,control,0,0
s2309,v1,0,0
s1562,v1,0,0
s2338,v1,0,0
s959,control,0,0
s2956,v1,0,0
s2227,v1,0,0
s2042,v1,0,0
s2660,v1,0,0
s528,control,0,0
s1219,control,0,0
s2662,v1,0,0
s157,control,0,0
s2750,v1,0,0
s2516,v1,0,0
s1830,v1,0,0
s458,control,0,0
s769,control,0,0
s330,control,0,0
s73,control,0,0
s656,control,0,0
s354,control,0,0
s2838,v1,0,0
s985,control,0,0
s2377,v1,0,0
s1381,control,0,0
s2170,v1,0,0
s168,control,0,0
s529,control,0,0
s2840,v1,0,0
s2499,v1,0,0
s1557,v1,0,0
s2144,v1,0,0
s2538,v1,0,0
s228,control,0,0
s1889,v1,0,0
s748,control,0,0
s1497,control,1,65.9
s2556,v1,0,0
s71,control,0,0
s360,control,0,0
s2904,v1,0,0
s2470,v1,0,0
s240,control,0,0
s116,control,0,0
s176,control,0,0
s2803,v1,0,0
s2586,v1,0,0
s1995,v1,0,0
s1433,control,0,0
s1724,v1,0,0
s1973,v1,0,0
s294,control,0,0
s935,control,1,72.39
s2839,v1,0,0
s2885,v1,0,0
s434,control,0,0
s123,control,0,0
s2468,v1,0,0
s2978,v1,0,0
s2940,v1,0,0
s2830,v1,0,0
s1870,v1,0,0
s2394,v1,0,0
s937,control,0,0
s340,control,0,0
s2730,v1,0,0
s2272,v1,0,0
s1743,v1,0,0
s1042,control,0,0
s1925,v1,0,0
s223,control,0,0
s1855,v1,0,0
s2887,v1,0,0
s799,control,0,0
s79,control,0,0
s1516,v1,0,0
s1023,control,0,0
s405,control,0,0
s2862,v1,0,0
s2031,v1,0,0
s844,control,0,0
s100,control,0,0
s1047,control,0,0
s1871,v1,0,0
s1421,control,0,0
s2132,v1,0,0
s1314,control,0,0
s934,control,0,0
s1039,control,0,0
s2331,v1,0,0
s308,control,0,0
s2297,v1,0,0
s1882,v1,1,88.57
s2306,v1,0,0
s1596,v1,0,0
s53,control,0,0
s2067,v1,0,0
s2441,v1,0,0
s2320,v1,0,0
s794,control,0,0
s2314,v1,0,0
s1053,control,0,0
s1753,v1,0,0
s1651,v1,0,0
s2945,v1,0,0
s2698,v1,0,0
s1755,v1,0,0
s2011,v1,0,0
s1509,v1,0,0
s1382,control,0,0
s1765,v1,0,0
s2475,v1,0,0
s2657,v1,0,0
s2587,v1,1,58.83
s2058,v1,0,0
s200,control,0,0
s838,control,0,0
s1308,control,0,0
s1184,control,0,0
s215,control,0,0
s2568,v1,0,0
s101,control,0,0
s1288,control,0,0
s1394,control,0,0
s791,control,0,0
s76,control,0,0
s2745,v1,0,0
s1560,v1,0,0
s4,control,0,0
s2933,v1,0,0
s804,control,0,0
s1979,v1,0,0
s2573,v1,0,0
s1643,v1,0,0
s2385,v1,0,0
s2276,v1,0,0
s2121,v1,0,0
s661,control,0,0
s982,control,0,0
s800,control,0,0
s232,control,0,0
s1168,control,0,0
s2414,v1,0,0
s1363,control,0,0
s2050,v1,0,0
s1091,control,0,0
s1868,v1,0,0
s2547,v1,0,0
s352,control,0,0
s1731,v1,0,0
s978,control,0,0
s304,control,0,0
s1912,v1,0,0
s2107,v1,0,0
s277,control,0,0
s1115,control,0,0
s893,control,0,0
s2749,v1,0,0
s1738,v1,0,0
s1361,control,0,0
s2138,v1,0,0
s2595,v1,0,0
s1082,control,0,0
s1992,v1,0,0
s217,control,0,0
s394,control,0,0
s798,control,0,0
s1802,v1,0,0
s2505,v1,0,0
s578,control,0,0
s2186,v1,0,0
s633,control,0,0
s1485,control,0,0
s2360,v1,0,0
s2148,v1,0,0
s1543,v1,0,0
s609,control,0,0
s2788,v1,1,70.61
s1005,control,0,0
s2096,v1,0,0
s1092,control,0,0
s2420,v1,0,0
s2210,v1,0,0
s193,control,0,0
s2825,v1,0,0
s2316,v1,0,0
s54,control,0,0
s1878,v1,0,0
s235,control,0,0
s588,control,0,0
s2439,v1,0,0
s2317,v1,0,0
s1593,v1,0,0
s623,control,0,0
s772,control,0,0
s1734,v1,0,0
s1285,control,0,0
s1944,v1,0,0
s2895,v1,0,0
s1816,v1,0,0
s2296,v1,0,0
s1297,control,0,0
s2597,v1,0,0
s2032,v1,0,0
s1096,control,1,28.87
s125,control,0,0
s2399,v1,0,0
s1886,v1,0,0
s714,control,0,0
s682,control,0,0
s636,control,0,0
s1555,v1,0,0
s2618,v1,0,0
s1713,v1,0,0
s2747,v1,0,0
s1182,control,0,0
s1375,control,0,0
s1640,v1,0,0
s1789,v1,0,0
s482,control,0,0
s2135,v1,0,0
s303,control,0,0
s166,control,0,0
s1939,v1,0,0
s108,control,0,0
s994,control,0,0
s2248,v1,0,0
s1827,v1,0,0
